epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20649.3,1.06717,1.45649,1.21449,0.68238,0.58227,0.63176,0.46079,1.04201,1.24463,1.13669,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,21290.6,1.06507,1.45063,1.2136,0.67461,0.58122,0.63191,0.46124,1.04091,1.24228,1.13564,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21942,1.06941,1.45223,1.21542,0.69883,0.56817,0.6322,0.46235,1.04018,1.23935,1.13507,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,22592.5,1.072,1.44213,1.21267,0.6982,0.56875,0.63353,0.46333,1.03951,1.23711,1.1347,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,23240.3,1.05721,1.42685,1.20693,0.67095,0.57849,0.63332,0.46301,1.03896,1.2336,1.13413,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23886.4,1.05221,1.4167,1.20342,0.65622,0.59343,0.63487,0.46381,1.03856,1.23094,1.13375,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,24536.5,1.05721,1.41782,1.20393,0.65735,0.59634,0.63548,0.46387,1.03728,1.22901,1.13218,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,25185.9,1.05527,1.40338,1.20155,0.65646,0.59731,0.63624,0.46523,1.03644,1.22729,1.13138,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,25836.7,1.04303,1.39912,1.1994,0.65728,0.5918,0.63716,0.46659,1.03503,1.22495,1.12972,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,26489.9,1.04887,1.39143,1.19784,0.65893,0.5931,0.63877,0.46763,1.03333,1.22239,1.12809,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,27141.2,1.04221,1.38203,1.19362,0.66051,0.59438,0.63879,0.46771,1.032,1.21935,1.12647,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,27792.8,1.05085,1.38792,1.19844,0.65601,0.59911,0.64006,0.46853,1.0313,1.21668,1.12542,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,28443.7,1.03609,1.37295,1.18947,0.6583,0.59913,0.64076,0.46883,1.02967,1.21409,1.1246,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,29099.9,1.04063,1.37242,1.19339,0.65815,0.59539,0.64099,0.46912,1.02875,1.21215,1.12328,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,29753,1.03697,1.36451,1.18962,0.66007,0.59457,0.64136,0.46953,1.02834,1.20974,1.12276,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,30411.6,1.03114,1.352,1.18552,0.66873,0.59756,0.64249,0.47095,1.02794,1.20855,1.12169,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,31064.2,1.03081,1.34871,1.18214,0.66851,0.59727,0.64438,0.47279,1.0279,1.20604,1.12131,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,31718.6,1.04123,1.35494,1.18592,0.67077,0.59597,0.64339,0.47256,1.0263,1.20469,1.11957,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,32373.4,1.02926,1.34101,1.18121,0.67651,0.59313,0.64419,0.473,1.02603,1.2022,1.11953,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,33026.7,1.02149,1.33494,1.17997,0.67652,0.59339,0.64495,0.47321,1.02405,1.19987,1.1177,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,33683.9,1.01624,1.32412,1.17884,0.68187,0.59249,0.64724,0.47507,1.02331,1.19879,1.11701,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,34341,1.02214,1.31867,1.1788,0.68078,0.59385,0.64765,0.47589,1.02311,1.19701,1.11664,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,34996.8,1.02773,1.32069,1.17981,0.68345,0.59186,0.64732,0.47621,1.02272,1.19581,1.11586,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,35637.3,1.01226,1.30168,1.17166,0.68898,0.58991,0.64819,0.47714,1.02249,1.19412,1.1157,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,36281,1.01553,1.29703,1.17103,0.68598,0.58875,0.64806,0.47732,1.0223,1.19272,1.11573,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,36924.5,1.0106,1.29472,1.17006,0.68026,0.59465,0.64841,0.47737,1.02133,1.19204,1.11503,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,37567.3,1.00233,1.28716,1.16435,0.66129,0.60713,0.64855,0.47856,1.02123,1.19036,1.11444,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,38211,1.00275,1.27859,1.16485,0.65443,0.61723,0.64934,0.47951,1.02144,1.1897,1.11414,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,38851.6,1.00256,1.27268,1.16331,0.65452,0.61721,0.65087,0.48077,1.02077,1.18865,1.11318,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,39490.7,0.99734,1.26955,1.1638,0.66038,0.61593,0.65144,0.48098,1.02098,1.18702,1.11304,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,40130.5,0.99079,1.25886,1.15877,0.66363,0.61826,0.65209,0.48152,1.0214,1.18599,1.11308,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,40774.1,0.98776,1.25266,1.15525,0.67188,0.61524,0.654,0.48279,1.02129,1.18455,1.11266,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,41410.9,0.99391,1.24253,1.15624,0.67098,0.61786,0.65467,0.484,1.01995,1.18282,1.11133,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,42047.8,0.99362,1.24491,1.15811,0.67242,0.61813,0.65412,0.48384,1.02048,1.18147,1.11145,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,42682,0.98886,1.22707,1.15128,0.67572,0.61442,0.65508,0.48428,1.01927,1.18089,1.11012,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
